survey_date,response_date,total_spend,spend_reported,seating_segment,member_segment,feedback,has_feedback,primary_theme,sentiment
00:18.0,32:27.0,259.88,true,General,UNKNOWN,Enforce mask mandates,true,Other / unclassified,neutral
57:48.0,15:52.0,398.0,true,Premium,UNKNOWN,"the bar lines went super slowly, please hire more bartenders! it was also confusing on how to purchase water/snacks. the bar was total chaos by 10pm, last call should be more clearly announced/known. don't leave it up to the people in line to keep giving others that message. the entire process felt like it could be way more streamlined. also people standing at the bar taking shots and then dilly dallying with their next order shouldn't be allowed. it makes the process incredibly slow for everyone. and most of the credit card machines werent working by 10pm either, there were only 2 people ahead of me in line and I was gone for over 20 minutes. that's pretty absurd.",true,Food and beverage,negative
57:48.0,35:21.0,398.0,true,Floor/Pit,UNKNOWN,Horrible communication and signs. We had 40 people with us and went to3 different entrances and at ticket scan we were told to go to another gate. Missed half of show. We could enter at any entrance and get to pit. Ruined our experience,true,Entry and wayfinding,negative
57:48.0,29:57.0,59.5,true,General,UNKNOWN,"Absolutely no organization or instruction on how to enter the stadium. We waited over an hour get in at one of the East entrances which was then shut down by event staff and the police. There were not enough signs or staff around to funnel traffic appropriately. We missed the openers entire show and made it with about 10 minutes to spare before Kygo. It looked like half of the guests were still trying to get in at 8:30 (well after the concert had started). Upon arriving, we had to get out of the Uber and walk as there was so much traffic. Also, there were no uber/lyfts available when we got out and had to walk about 0.5 mile away before any ride share services agreed to pick us up.",true,Parking and transportation,
28:03.0,25:35.0,119.0,true,General,UNKNOWN,Make the food and water more affordable,true,Food and beverage,neutral
00:18.0,31:34.0,,false,Unknown,UNKNOWN,None,false,Other / unclassified,neutral
00:18.0,11:17.0,259.88,true,General,UNKNOWN,Your parking situation sucks. We drove around looking for parking for an hour and ended up at USC needing to Uber to the venue.,true,Parking and transportation,negative
57:48.0,44:14.0,79.5,true,General,UNKNOWN,No,false,Other / unclassified,negative
00:18.0,04:12.0,259.9,true,Floor/Pit,UNKNOWN,Event staff for seating extremely rude. My son and i left the floor to use restroom and they would not let us back on the field to our seats. Kept giving us the run around on where to re enter. Then they made us go back to the entrance to get wristbands that we were never given upon entering. Total waste of time and made us miss the opening songs of system of a down. Super unorganized event staff and floor entrance policy.,true,Entry and wayfinding,negative
10:37.0,37:33.0,141.88,true,General,YES,How about selling pretzels at the game?,true,Other / unclassified,neutral
00:18.0,51:08.0,319.8,true,General,UNKNOWN,"improve parking, it was so bad for a show with only approx 20,000 fans",true,Parking and transportation,
28:03.0,40:29.0,79.5,true,General,UNKNOWN,"give temp staff better orientation as far as directions, what sections/staircases are open; where the concert specials are sold, just all the reverent day-of details. all staff was friendly, but clueless",true,Staff and service,negative
00:18.0,37:47.0,159.9,true,General,UNKNOWN,Better Restrooms. More ushers to clear areas out and to help with finding our way around,true,Restrooms,neutral
00:18.0,08:28.0,299.88,true,General,UNKNOWN,The stage for all the bands before System of A Down on Feb 4 had rows of lights on both sides of the stage. These lights significantly blocked view of the performers. There was also a beer garden that was on the NW side outside of the stadium that was shut down WAY too early that shouldâ€™ve stayed open for at least another 1.5-2 hours.,true,Food and beverage,negative
28:03.0,51:44.0,,false,Unknown,UNKNOWN,"Bro, why is it so hard to find a pretzel. When I find one theyâ€™re either not able to be sold or they arenâ€™t ready. I literally only wanna eat a pretzel at a stadium",true,Other / unclassified,negative
28:03.0,03:42.0,178.5,true,General,UNKNOWN,N/a,false,Other / unclassified,neutral
28:03.0,09:32.0,199.5,true,General,UNKNOWN,Too many hot dog people and random vendors outside before and after concerts,true,Other / unclassified,negative
57:48.0,16:26.0,199.0,true,Floor/Pit,UNKNOWN,"It was too crowded for the entrance and the staff didn't know were to send the people - Same for buying beers, too crowded",true,Entry and wayfinding,negative
28:03.0,17:19.0,399.0,true,Premium,UNKNOWN,"the staff should be a little friendlier, I heard some complaints from others",true,Staff and service,negative
33:06.0,15:26.0,,false,General,UNKNOWN,Parking is too expensive. Please try to change it next season.,true,Parking and transportation,negative
26:53.0,57:43.0,,false,Unknown,UNKNOWN,"Stop separating the east from the west, it doesn't in anyway stop you from going from one side to the other, its just an annoyance.",true,Other / unclassified,negative
40:57.0,46:34.0,116.58,true,General,YES,The bar at the fan fest was great and had reasonable prices thank you.,true,Food and beverage,positive
40:57.0,35:36.0,347.34,true,Supporters Section,YES,Bring back the potato taquitos at the nachos food stall please,true,Food and beverage,neutral
26:53.0,41:14.0,,false,Unknown,UNKNOWN,Nobody knew where our seats were or could direct us to our section and it took significant time and frustration to deal with that.,true,Other / unclassified,negative
26:53.0,30:36.0,,false,Unknown,UNKNOWN,No thanks,true,Other / unclassified,negative
40:57.0,20:29.0,,false,Unknown,NO,The biggest problem I have is your concession stand it takes way too long to get any sort of drinks or food you can leave your seat five minutes early and still not order in for the second half starts I feel thatâ€™s ridiculous and you are losing a lot of money and concessions are people walking away,true,Food and beverage,negative
40:57.0,55:00.0,22.0,true,Supporters Section,YES,"Fan fest takes up too much space, I would rather have more open space for supporter groups to tailgate than a â€œfan festâ€.",true,Fan atmosphere and connection,
40:57.0,23:42.0,,false,Unknown,YES,Easy entry and very friendly staff. Very slow concessions with getting a pretzel.,true,Staff and service,neutral
40:57.0,42:19.0,471.12,true,General,YES,Please bring back the Market Corner which used to have fresh salads and sandwiches. Also pretzels are stale post Covid-19. I have been to several games lately and I keep ordering the pretzels in the hope of getting a fresh baked one but they have all been hard as a rock. : (,true,Other / unclassified,negative
40:57.0,11:00.0,155.91,true,General,YES,Please staff up the concessions. We're at full capacity now and there shouldn't be empty or unattended stalls. The lines are really bad right now. It is a very negative experience trying to get food or drinks.,true,Food and beverage,negative
33:06.0,58:00.0,,false,Premium,UNKNOWN,Can we please have nachos as a food option?,true,Food and beverage,neutral
40:57.0,22:37.0,44.0,true,Supporters Section,YES,Please clean the seats.  The seats are in desperate need of sanitizing.  Trash is not picked up from the cup holders.  Iâ€™ve seen the same trash in cup holders 4 consecutive games.,true,Other / unclassified,negative
33:06.0,53:03.0,,false,Premium,UNKNOWN,J Spenser had great game!,true,Other / unclassified,positive
26:53.0,57:54.0,,false,Unknown,UNKNOWN,Would like a refund worst experience ever at a sporting event,true,Other / unclassified,negative
40:57.0,10:46.0,,false,Unknown,YES,More space in Christmas Tree lane.,true,Other / unclassified,neutral
26:53.0,10:43.0,,false,Unknown,UNKNOWN,"Need some improvement on the restrooms have to make line to used it, even the gilrs",true,Queues and wait times,negative
40:57.0,42:33.0,164.58,true,General,YES,Play the entire Ecstasy of Gold song for Scarves up like you used to. It awkwardly cuts out now mid song and diminishes what used to be a cool crowd amping moment. Either maybe start the song  earlier or get a cut down version of the song so that it still naturally concludes rather than awkwardly just stopping.,true,Fan atmosphere and connection,negative
10:37.0,32:47.0,,false,Unknown,YES,the food is taken to fast and there always should be nachos at the game,true,Food and beverage,negative
28:03.0,47:46.0,399.0,true,Floor/Pit,UNKNOWN,Nope :),true,Other / unclassified,positive
00:18.0,21:30.0,259.88,true,General,UNKNOWN,Very easy this time around. I also attended once about a time in LA. Now that was a nightmare,true,Other / unclassified,negative
00:18.0,02:59.0,299.9,true,Premium,UNKNOWN,The parking and attendants suck 100 percent. We spent longer looking for parking than what System of a Down played. Very disappointed.,true,Parking and transportation,negative
28:03.0,36:58.0,299.0,true,General,UNKNOWN,no,false,Other / unclassified,negative
57:48.0,13:07.0,139.0,true,General,UNKNOWN,"The GA entrance was a mess. I waited with a friend who had GA and I couldn't believe how unorganized it was. I had a seat assignment so once I figured out that I could use a different entrance, it was easy, but there was no information about that prior to arrival .",true,Entry and wayfinding,
28:03.0,50:31.0,99.5,true,General,UNKNOWN,,false,Other / unclassified,
00:18.0,48:26.0,129.95,true,Floor/Pit,UNKNOWN,"Friendlier vendors , also if they merchants can stay after the concert. They closed up once the concert was done I wasnâ€™t able to purchase anything !",true,Other / unclassified,
00:18.0,21:40.0,149.94,true,Floor/Pit,UNKNOWN,One way entrance for bathrooms it was a cluster mess,true,Entry and wayfinding,negative
57:48.0,11:50.0,1250.0,true,VIP Floor/Pit,UNKNOWN,Great job. Keep it up,true,Other / unclassified,positive
28:03.0,41:20.0,159.0,true,General,UNKNOWN,"very bad parking details, staff did not know where to direct once lit was full",true,Parking and transportation,negative
28:03.0,03:55.0,59.5,true,General,UNKNOWN,No,false,Other / unclassified,neutral
57:48.0,16:16.0,79.5,true,General,UNKNOWN,More lasers,true,Other / unclassified,neutral
00:18.0,34:23.0,99.95,true,General,UNKNOWN,Make putting up signs priority so people know where to go,true,Other / unclassified,neutral
28:03.0,13:21.0,159.0,true,General,UNKNOWN,"Parking, drop off, pick up, traffic around venue is horrible! Only bad thing about BMO is getting to and from venue. I've attended 3 concerts at BMO in the past year and have parked and Ubered. Pretty bad experiences.",true,Parking and transportation,
10:37.0,59:47.0,309.16,true,General,YES,more regular food no high end food,true,Food and beverage,neutral
57:48.0,12:22.0,99.5,true,Floor/Pit,UNKNOWN,I was in the PIT and no one knew what the heck was going on. The guards at the gate never gave me or my friend a wrist band at the top of the entrance and when we got to the bottom the guard would NOT let us through even though I showed him my tickets. He kept arguing with me and allowed 30 other people to go ahead but would refuse to let me go. I was missing out on the concert experience. We had to go all the way back up TWICE due to confusions with wristbands and it detracted from my experience at this concert. Please handle this better. We were essentially the highest paying ticket members and I didn't appreciate being treated like scum even though I paid over $150..,true,Entry and wayfinding,negative
19:30.0,31:36.0,,false,General,YES,Do not schedule events before the game. I was in traffic on Figueroa for 1.5 hours. I couldnâ€™t park and made it late to the game!!!!,true,Parking and transportation,negative
00:18.0,25:02.0,599.8,true,Floor/Pit,UNKNOWN,Security staff should give waring to people who are moshing in a pit before ejecting them from the venue,true,Staff and service,neutral
00:18.0,37:19.0,299.9,true,Floor/Pit,UNKNOWN,"Less check points, make it easier to get in and out.",true,Other / unclassified,
10:37.0,52:55.0,,false,Unknown,YES,"get more of the giveaways, Im never able to get any",true,Other / unclassified,negative
28:03.0,18:07.0,299.0,true,Floor/Pit,UNKNOWN,"Screens on stage could be higher for those who are shorter that have floor seats, otherwise itâ€™s hard to see anything",true,Other / unclassified,
00:18.0,04:55.0,159.9,true,General,UNKNOWN,,false,Other / unclassified,
00:18.0,52:03.0,319.8,true,General,UNKNOWN,Remove puking drunk people faster,true,Other / unclassified,neutral
00:18.0,03:34.0,149.95,true,General,UNKNOWN,The clear bag policy is frustrating for women.  It's embarrassing to have to carry a clear bag with items like tampons in full view.  It also feels sexist as women's clothing doesn't have the same large pockets as men's making it difficult not to carry a bag.  Clear bag policies are always a major holdback for me when choosing where to attend events.,true,Other / unclassified,negative
00:18.0,16:30.0,79.95,true,General,UNKNOWN,More restrooms and more supply refills in the restrooms,true,Restrooms,neutral
28:03.0,31:08.0,548.0,true,General,UNKNOWN,Cheaper parking would be 300% better. $66 for general is insane,true,Parking and transportation,negative
00:18.0,36:54.0,399.75,true,General,UNKNOWN,"The echo from first balcony was pretty bad , find s way to eliminate that",true,Other / unclassified,
00:18.0,47:03.0,199.9,true,Premium,UNKNOWN,Yes. I sat in section D field level row A and it was the only section that had that row lower than the walkway and other seats. The only way to walk to get to the field level bar or restrooms were to walk through that level. I saw several people fall and face plant and hurt themselves because they didnâ€™t know the level dropped off because it was dark.  That could be a serious hazard or lawsuit. Also in those seats you canâ€™t see over the security or police that block the entrance to the pit. I literally was the only person in the entire field level for the first 3 hours of the concert. Luckily I was able to move to section c to see above the security.,true,Staff and service,negative
00:18.0,22:01.0,299.89,true,Floor/Pit,UNKNOWN,,false,Other / unclassified,
10:37.0,23:03.0,173.86,true,General,YES,pls put more work in the fan fest more suponser tnts more game to be more atracive,true,Other / unclassified,neutral
00:18.0,00:57.0,159.9,true,General,UNKNOWN,List all bathroom locations on maps around stadium,true,Restrooms,neutral
00:18.0,35:58.0,149.94,true,Floor/Pit,UNKNOWN,For pit please consider some portapotty instead of having to walk all the way up every time one needs to go to the restroom,true,Restrooms,negative
40:57.0,42:24.0,141.64,true,General,YES,I took my daughter to the game. Sheâ€™s going to be 3 soon. Sheâ€™s too young for popcorn and found it very difficult to find a snack or dessert for her other than food. She was asking me for ice cream and I was disappointed that I couldnâ€™t find any. And if there was ice cream I asked a few stadium employees and they didnâ€™t even know if they sold it or not. Not sure if you sell it but if you donâ€™t thatâ€™s something that should be available. Especially on warm days.,true,Food and beverage,negative
40:57.0,10:31.0,132.92,true,General,YES,"Need coffee in the stadium please.  This was always very popular, where did it go?",true,Other / unclassified,
33:06.0,26:12.0,,false,Unknown,UNKNOWN,No,false,Other / unclassified,neutral
26:53.0,03:12.0,,false,Unknown,UNKNOWN,Thank. You,true,Other / unclassified,positive
40:57.0,22:20.0,146.3,true,General,YES,TVs in the restrooms. And concourse. If you find yourself down there during the game it would be nice to watch.,true,Restrooms,positive
40:57.0,48:14.0,530.02,true,Premium,YES,No,false,Other / unclassified,negative
40:57.0,17:21.0,258.2,true,General,YES,I want the popcorn vendors back,true,Other / unclassified,neutral
40:57.0,20:31.0,203.4,true,General,YES,No,false,Other / unclassified,neutral
40:57.0,50:08.0,,false,Unknown,NO,Great game and great fan club,true,Other / unclassified,positive
33:06.0,08:45.0,,false,Supporters Section,UNKNOWN,Parking fee is too expensive.,true,Parking and transportation,negative
40:57.0,30:54.0,82.16,true,General,YES,"Not enough vendors for food or beer open...VERY long lines, too long",true,Queues and wait times,negative
33:06.0,12:14.0,,false,Premium,UNKNOWN,"Food in Field Club has been steadily going down hill over the past three matches.  Chicken was pale, meat was grey and salad sad this past week.",true,Food and beverage,negative
40:57.0,58:40.0,146.84,true,General,YES,Fan fests don't interest me as long as Covid cases in LA are rising again.,true,Queues and wait times,negative
40:57.0,03:31.0,758.16,true,Premium,YES,The food selection is getting worse as are the hot dog vendors on the way out!!!!,true,Food and beverage,negative
40:57.0,36:45.0,109.72,true,General,YES,I promised my 8 year old son a pretzel if LAFC scored and of course we did--my seats are in the SW corner and we couldn't locate pretzels anywhere. I asked a LAFC rep where to find them and he offered to find them and bring them to our seats for free! It was a great experience and my son was thrilled! THANK YOU!,true,Other / unclassified,positive
33:06.0,18:31.0,,false,Unknown,UNKNOWN,,false,Other / unclassified,
40:57.0,28:47.0,463.62,true,Premium,YES,Can you re-open Club entry to the stadium on the same side as the General Parking Gold lot?,true,Parking and transportation,neutral
33:06.0,42:45.0,,false,General,UNKNOWN,The PA system seemed more muted than all the other matches we have attended. Made listening a bit more difficult.,true,Other / unclassified,negative
40:57.0,36:14.0,221.72,true,General,YES,no,false,Other / unclassified,neutral
33:06.0,06:21.0,,false,Unknown,UNKNOWN,"The closure of half the Green lot caused delays and frustration - we would have left earlier if we had been notified in advance,",true,Other / unclassified,negative
26:53.0,09:57.0,,false,Unknown,UNKNOWN,Food pickup App needed like at Disneyland.,true,Food and beverage,neutral
26:53.0,34:57.0,,false,Unknown,UNKNOWN,Excellent stadium and experience,true,Other / unclassified,positive
26:53.0,39:16.0,,false,Unknown,UNKNOWN,LAFC should reiterate to employees that customer experience is a priority and perhaps implement a rewards program for employees who exceed expectations and help establish â€œbest experienceâ€ for potential season pass holders. Thank you,true,Other / unclassified,positive
26:53.0,56:46.0,,false,Unknown,UNKNOWN,Red more vegetarian food options in Field Club.  Asked for veggie dog and it took 20 minutes!,true,Food and beverage,negative
40:57.0,28:31.0,161.08,true,General,YES,Please have food available for mobile orders,true,Food and beverage,neutral
40:57.0,23:55.0,,false,Unknown,NO,Great Atmosphere! Great Employees!,true,Fan atmosphere and connection,positive
26:53.0,29:50.0,752.0,true,Premium,UNKNOWN,"You should offer season game packages, so I can get seats for multiple games",true,Other / unclassified,neutral
40:57.0,50:09.0,182.88,true,General,YES,Concession stand lines this season are WAY longer/slower than they ever have been.,true,Food and beverage,negative
33:06.0,38:15.0,,false,Unknown,UNKNOWN,We love the atmosphere at the stadium!,true,Fan atmosphere and connection,positive
40:57.0,00:46.0,146.84,true,General,YES,"No, I like it",true,Other / unclassified,
40:57.0,37:07.0,,false,Unknown,NO,"The staff were very friendly & helpful, it was our first time attending this stadium & i really
Liked how clean everything was, the staff in the womenâ€™s bathroom did an excellent job of cleaning & maintaining bathroom clean. Iâ€™ve never seen a cleaner bathroom at a stadium!",true,Staff and service,
26:53.0,34:35.0,,false,Unknown,UNKNOWN,"Have the match playing in the stadium TVs around food/beer, etc.  We miss a lot during this time.  We are already paying top dollar to be there, why not play the game on the screens as well.",true,Food and beverage,negative
40:57.0,47:59.0,,false,Unknown,NO,"The Stadium must find a way to allow more people to get food and drinks at halftime. I know its tough and everyone wants Pizza and beer at same minute.   Need more stands, more employees, and ways to order FOOD by mobile so they can prepare it and have orders ready.   Thousands of fans wanted food but would not wait in lines and left the game hungry at the end.",true,Food and beverage,negative
00:18.0,45:27.0,299.9,true,Premium,UNKNOWN,I purchased Fig Club seats. No one could tell me where my seat was or help me find it. There were several people in the club seats without tickets for that section. There was no regulation. Why would I spend that much money again when I can just sit wherever I want with no regulation. Very poor setup.,true,Other / unclassified,negative
57:48.0,15:56.0,318.0,true,General,UNKNOWN,It was very unclear where we were to enter. The entrances were not marked and we were dropped off at the opposite end of where we had to enter and my friend was walking with a cast. It also wasnâ€™t clear that we didnâ€™t have assigned seats and it was very difficult to determine where we were allowed to sit and whether we were allowed to go on the floor with our GA tickets,true,Entry and wayfinding,negative
00:18.0,17:39.0,259.88,true,Floor/Pit,UNKNOWN,Everything was great! Can't wait to come back.,true,Queues and wait times,positive
00:18.0,46:52.0,299.9,true,Floor/Pit,UNKNOWN,Put restroom on floor level,true,Restrooms,neutral
57:48.0,31:39.0,278.0,true,General,UNKNOWN,There need to be more food options open during concerts!! This is our second time attending a concert here and most of the food vendors are closed. Super disappointing.,true,Food and beverage,negative
28:03.0,12:33.0,238.5,true,General,UNKNOWN,Parking passes are hard to buy online,true,Parking and transportation,negative
28:03.0,30:03.0,274.0,true,Floor/Pit,UNKNOWN,"I think your stadium needs a whole new security team as well as staff. I have never been treated so disrespectfully and felt so belittled in a place where I PAID to have fun. It was supposed to be great night that instead was turned sour because of CSC security being belittling towards fans who are PAYING them to be there. I have never been yelled at by a grown man for having emotions and crying during a song. Truly such a horrible experience which has made me never want to return. I shared my story of a security staff telling me to stop crying while enjoying the show, I wasnâ€™t aware that showing emotion during a concert was not permitted at BMO Stadium? Many people on tiktok are also sharing the rudeness of your security and staff. Overall, 0/10 rating for experience at your venue. The concert itself was wonderful but the experience of being belittled and mistreated by rude and disorganized staff was horrible. Truly hope you reflect on this and revamp the security team for anymore success at your venue. Extremely disappointed and wish to never have to return to this place ever.",true,Staff and service,
00:18.0,41:47.0,149.95,true,Floor/Pit,UNKNOWN,"I love shows here, compared to others I have been to here, the video/light/sound were so-so at this particular show. One thing that would make this experience so much better for everyone is having signs OUTSIDE the stadium indicating where to park depending on your ticket type. This could even be included in google maps! Lots adjacent to pit access vs club entry vs general seating! Myself and several others had a less than pleasant experiencing circling the stadium because staff had given wrong info and we paid for PREMIUM parking that turned out to be the actual furthest from our side of the stadium and to top it off we couldn't even exit the stadium on the correct side to make our walk back to the car shorter.",true,Parking and transportation,
00:18.0,13:34.0,159.9,true,General,UNKNOWN,"Disallow fans from standing at non seat railway, blocks view of those who have seats.  We paid for tickets and should have an unblocked view of the concert.",true,Fan atmosphere and connection,negative
00:18.0,28:03.0,239.85,true,General,UNKNOWN,Yes. Ticketmaster showed guests who were not vaccinated needed a negative test within 72 hours. Shortly before the concert started we got an email with the Banc of California policies stating unvaccinated guests needed a negative test within 48 hours. Luckily the person I was with had it within 48 hours but if he hadnâ€™t he wouldnâ€™t have been able to attend the concert. The covid policies should be accurate on ticket listing websites so guests can plan ahead. We had the potential to miss the concert due to inaccurate information.,true,Other / unclassified,negative
28:03.0,55:43.0,1168.5,true,Floor/Pit,UNKNOWN,Hoping for a better attitude from staff. BE ABLE TO RECORD SOUNDCHECK! PAID A TON OF MONEY FOR ME NOT TO BE ABLE TO RECORD!! The heck is that!,true,Staff and service,negative
10:37.0,51:20.0,578.54,true,Premium,YES,,false,Other / unclassified,
33:06.0,50:13.0,,false,Premium,UNKNOWN,"Hi! I donâ€™t know if this is an ACFC issue or a Banc issue, but the ADA assistance/handicap parking situation is INSANELY TERRIBLE. I brought my dad who doesnâ€™t walk well and has a handicap placard. He uses a walker and cane. I have been told before to go to the Hoover entrance, which I did, and was directed to the Orange lot. HOW could someone using a walker realistically go from the Orange lot to the stadium? I asked if there was a spot I could at least drop him off, to which 3 different parking attendants all said â€œoh I donâ€™t knowâ€. I was able to circle around and go back to the Blue structure and parked in handicap there one level down. And the elevator was out of service. If he was in a wheelchair, weâ€™d be stuck. There is a spot for rideshare drop offs, but completely unclear instructions for handicap attendees. Thankfully people around us helped my dad where we could and once we were at the stadium everything IN the stadium was fine. But the parking absolutely MUST be addressed. Itâ€™s really disappointing to have to stress about parking when I have season tickets and season parking. I intend to write to the Banc as well, but feel like ACFC should understand this is a problem.",true,Parking and transportation,
33:06.0,35:31.0,,false,General,UNKNOWN,Great environment,true,Other / unclassified,positive
40:57.0,34:11.0,,false,Unknown,NO,"I was very disappointed with your lack of patriotismâ€™sâ€¦it seem like youâ€™re only agenda was LGB. Every break was about LGBâ€¦what happened to the kiss cam and games? 

This was also the first stadium that I ever visited that did not have American flag hanging. We have made the decision that this is not a place to take our familyâ€¦we donâ€™t need anyone trying to influence our kids.",true,Other / unclassified,negative
40:57.0,07:50.0,150.96,true,Supporters Section,YES,"Thank you for providing PortaPotty and the Restrooms on the NE. It helped make my experience much more comfortable to enjoy. 
I had a ton of fun with family and friends.",true,Restrooms,positive
33:06.0,58:58.0,,false,General,UNKNOWN,The sound system in the stadium is awful. We cannot understand a word said on th PA. You might as well forget the interviews you try and do because we cannot understand a word.,true,Other / unclassified,negative
26:53.0,50:18.0,,false,Unknown,UNKNOWN,I will never come back I was in VIP sections with my 11 year old daughter and they took her small hand bag. Stole it basically.  Scum bags very disappointed,true,Other / unclassified,negative
40:57.0,50:49.0,210.28,true,General,YES,****concession lines are extremely LONGER now that we are at full capacity-folks need help!!**,true,Food and beverage,negative
26:53.0,50:19.0,,false,Unknown,UNKNOWN,"The seating was a mess, why oversell tickets when there are not enough seats for every supporter. To top it off, we were not even allowed to stand anywhere in the supporter section. We were being kicked out by staff. Very unprofessional",true,Fan atmosphere and connection,
40:57.0,31:23.0,,false,Unknown,YES,More vegan options,true,Other / unclassified,neutral
40:57.0,57:15.0,,false,Unknown,NO,"As a first time fan, I didn't know where to park, the parking fee, and whether parking reservations or a pre-paid parking ticket was required for certain lots.  A little more and clearer information on this would be helpful",true,Parking and transportation,negative
40:57.0,54:56.0,146.12,true,General,YES,Please place more trash cans around Fan Fest,true,Other / unclassified,neutral
40:57.0,37:15.0,132.0,true,Supporters Section,YES,More restrooms the line got just a little long before game time.,true,Queues and wait times,negative
40:57.0,26:52.0,,false,Unknown,NO,I am for requiring vaccines or masking at LAFC games. It would make me more likely to attend during the pandemic.,true,Other / unclassified,positive
40:57.0,29:27.0,1436.56,true,Supporters Section,YES,Dale!,true,Other / unclassified,positive
26:53.0,37:00.0,,false,Unknown,UNKNOWN,Very nice place BMO stadium to be enjoying LAFC games,true,Other / unclassified,positive
40:57.0,44:33.0,1872.52,true,Premium,YES,Have a singer for the national anthem. The crowd singing every time is getting a bit tired. You could find a local youth to sing or a musician to play instrumental version. Also we need an actual US flag and not a video representation of it. Thanks!,true,Fan atmosphere and connection,neutral
40:57.0,41:30.0,44.0,true,Supporters Section,YES,I LOVED seeing ACFC there!  Our womenâ€™s team definitely needs to be exposed for a great upcoming inaugural year!,true,Other / unclassified,positive
40:57.0,56:44.0,182.88,true,General,YES,please open the Fields as soon as possible,true,Other / unclassified,neutral
40:57.0,01:33.0,132.48,true,General,YES,"The rotisserie bar food was excellent, but the service on the south end of the counter (2 servers) was extremely slow. I got in line at 7:00pm and wasn't served until 7:35pm. The lines on the north end took around 12 minutes for the same length of line.",true,Queues and wait times,negative
33:06.0,41:19.0,,false,General,UNKNOWN,"Yes, I recently attended the away game at Snapdragon vs the Wave, and I like their policy of allowing empty refillable water bottles into the stadium, so as to avoid plastic waste.  I would love it if the Banc would adopt this!  See below description of their policy:  Sealed water bottles (unfrozen) as well as empty refillable water bottles no larger than 32oz are allowed into the stadium.",true,Other / unclassified,positive
33:06.0,02:20.0,,false,General,UNKNOWN,Parking was more difficult because of all the trucks in the main lot. If possible it would have been helpful to know there was limited parking closest to the stadium,true,Parking and transportation,negative
33:06.0,04:04.0,,false,Premium,UNKNOWN,Please bring back nachos. Every game there should be nachos. Just like hot dogs.,true,Other / unclassified,positive
40:57.0,43:13.0,134.44,true,General,YES,More portables.!,true,Other / unclassified,neutral
40:57.0,53:51.0,,false,Unknown,YES,"some free, stadium-wide wifi might help",true,Other / unclassified,neutral
40:57.0,41:35.0,292.6,true,General,YES,Need mixed drinks on the west side of stadium,true,Other / unclassified,neutral
26:53.0,20:34.0,,false,Unknown,UNKNOWN,LAFC games are amazing! The atmosphere is the best in the entire league!,true,Fan atmosphere and connection,positive
40:57.0,30:42.0,182.88,true,General,YES,It would be nice to have vegetarian hot dogs along with the regular hot dogs. Something easy and fast like at the Dodgers games.,true,Other / unclassified,positive
33:06.0,24:56.0,,false,General,UNKNOWN,"At the most recent game, drinks were not filled as high as they normally are, and the food did not seem to be as good of quality as it normally is.",true,Food and beverage,
40:57.0,22:01.0,,false,Premium,YES,"yes, regarding season ticket seats.. I have noticed more and more people that do not have right to be in some of the season ticket holders seats are occupying these seats illegally
I would like for LAFC to monitor this more closely. its very disappointing..",true,Other / unclassified,negative
26:53.0,13:12.0,,false,Unknown,UNKNOWN,"I sat in the Supporters section for the first time. HAD A BLAST!!! Felt like we contributed to our win. The worst part of the experience was the flares before the game started. There was so much smoke I could barely breath. Had to put my tshirt over my mouth and nose. Couldn't see the first few minutes of the game. The flares were very dangerous as well. Really does need to be stricter security on that. I didn't even mind the beer showers after each of our goals-just part of the experience! But the smoke was awful and dangerous. Other than that, had a great time and can't wait to get back. Jump for LA Football Club!!",true,Food and beverage,positive
40:57.0,38:44.0,108.93,true,General,YES,Bring back the dole whip,true,Other / unclassified,neutral
40:57.0,33:47.0,151.66,true,General,YES,Parking process is WAY too slow. Wasted 45 minutes trying to park in the garage.,true,Parking and transportation,negative
40:57.0,29:45.0,71.0,true,General,YES,Please bring back the fields and craft beer options in the stadium. I can easily find Heineken but a good beer is difficult to get anymore since the Goalkeeper mart's stock was severely limited from the first year options.,true,Food and beverage,negative
40:57.0,54:14.0,295.0,true,General,NO,Overall it was a great game and the fans were well behaved and a great environment for the kids. This is our 5th game in two years so weâ€™re looking for more! The issue with parking is painful but if there was an alternate lot available that would be great. We drive all the way from Temecula and I am in the military so when we go we go all out. You guys are doing a great job.,true,Parking and transportation,positive
40:57.0,40:03.0,1312.24,true,Premium,YES,Thanks for everything!,true,Other / unclassified,positive
26:53.0,56:47.0,,false,Unknown,UNKNOWN,"We got bad info at the entrance to the Founders Box that only top shelf alcohol was not included in the price.  When we ordered mixed drinks, the bartender gave us doubles and charged us over $50 for the two drinks.  Other than that, we had an awesome time.  Great experience.",true,Entry and wayfinding,positive
33:06.0,47:44.0,,false,General,UNKNOWN,Something's gotta give with the parking sitch. We had to park several blocks away where the Expo was still charging $50.,true,Parking and transportation,negative
33:06.0,05:07.0,,false,Supporters Section,UNKNOWN,Hoping next season has a bigger presence of ACFC gear. Also that perso of jerseys are done on site like LAFC,true,Other / unclassified,positive
33:06.0,28:45.0,,false,Unknown,UNKNOWN,Parking passes need to be available for purchase in advance.,true,Parking and transportation,neutral
40:57.0,45:31.0,,false,Unknown,YES,You have to fix the food and drink lines.  They are way too long.  I won't buy anything at the stadium with the lines so long because I'd miss too much of the match.,true,Queues and wait times,negative
